selling_price (in lakhs),age,seller_type,km_driven (in thousands),owner_type,fuel_type,transmission_type,mileage,engine_size (in cc),max_power (in bhp),seats,maker,model,variant
0.7,14.0,Individual,30.0,First Owner,Petrol,Manual,18.9,1061,67.0,5,MARUTI,WAGON,R LXI MINOR
13.1,5.0,Dealer,11.0,First Owner,Diesel,Manual,21.43,1364,87.2,5,TOYOTA,COROLLA,ALTIS DIESEL D4DGL
5.49,6.0,Dealer,44.0,First Owner,Diesel,Manual,18.49,1493,100.0,7,MAHINDRA,TUV,300 T8
5.2,4.0,Dealer,29.0,First Owner,Petrol,Manual,20.89,1197,81.8,5,MARUTI,IGNIS,ALPHA
2.98,8.0,Dealer,65.0,First Owner,Petrol,Manual,19.4,1198,86.8,5,HONDA,BRIO,S MT
5.65,6.0,Dealer,52.0,First Owner,Petrol,Manual,20.73,1373,91.1,5,MARUTI,CIAZ,VXI PLUS
4.2,9.0,Dealer,62.0,First Owner,Petrol,Manual,17.01,1591,121.3,5,HYUNDAI,VERNA,1.6 EX VTVT
16.9,7.0,Dealer,61.0,First Owner,Diesel,Automatic,12.55,2982,168.5,7,TOYOTA,FORTUNER,4X2 AT
7.65,4.0,Dealer,35.0,First Owner,Petrol,Manual,17.5,1199,88.7,5,HONDA,WR-V,I-VTEC VX
2.4,9.0,Dealer,73.5,First Owner,Petrol,Manual,20.36,1197,78.9,5,HYUNDAI,I10,MAGNA 1.2 ITECH SE
1.7,13.0,Dealer,63.248,First Owner,Petrol,Manual,16.1,1197,85.0,5,MARUTI,SWIFT,VXI BSIV
57.75,3.0,Dealer,12.5,First Owner,Petrol,Automatic,12.28,2995,328.5,4,AUDI,S5,SPORTBACK
5.85,6.0,Dealer,49.098,First Owner,Petrol,Manual,20.73,1373,91.1,5,MARUTI,CIAZ,VXI
4.9,9.0,Individual,35.0,First Owner,Diesel,Manual,17.21,1493,100.0,7,MAHINDRA,QUANTO,C6
2.1,9.0,Individual,90.0,First Owner,Diesel,Manual,22.07,1199,73.9,5,VOLKSWAGEN,POLO,DIESEL COMFORTLINE 1.2L
6.75,4.0,Dealer,59.0,First Owner,Diesel,Automatic,28.4,1248,74.02,5,MARUTI,SWIFT,DZIRE AMT ZDI
6.75,2.0,Dealer,45.0,First Owner,Petrol,Automatic,18.3,1199,88.76,5,HONDA,AMAZE,V CVT PETROL
4.95,7.0,Dealer,47.0,First Owner,Diesel,Manual,26.21,1248,88.5,5,MARUTI,CIAZ,ZDI
3.25,8.0,Dealer,42.0,First Owner,Petrol,Manual,15.0,1598,103.5,5,SKODA,RAPID,1.6 MPI ACTIVE
5.1,6.0,Dealer,56.0,First Owner,Diesel,Manual,28.09,1248,88.5,5,MARUTI,CIAZ,VDI SHVS
8.65,6.0,Dealer,47.0,First Owner,Diesel,Manual,12.99,2494,100.0,7,TOYOTA,INNOVA,2.5 G (DIESEL) 7 SEATER BS IV
44.5,3.0,Dealer,22.0,First Owner,Diesel,Automatic,10.0,2148,170.0,5,MERCEDES-BENZ,E-CLASS,E 220 CDI AVANTGARDE
8.0,2.0,Dealer,25.0,First Owner,Diesel,Manual,17.3,1497,121.0,8,MAHINDRA,MARAZZO,M2 8STR
5.9,3.0,Dealer,59.012,First Owner,Diesel,Manual,25.83,1498,99.0,5,FORD,ASPIRE,1.5 TDCI TITANIUM PLUS
6.75,4.0,Dealer,10.0,First Owner,Petrol,Manual,21.21,1197,81.8,5,MARUTI,SWIFT,DZIRE ZXI 1.2
12.75,9.0,Dealer,88.0,First Owner,Diesel,Automatic,16.09,1995,184.0,5,BMW,X3,XDRIVE20D
2.5,11.0,Dealer,107.543,First Owner,Petrol,Manual,15.5,1586,103.3,5,MARUTI,SX4,ZXI MT BSIV
5.45,5.0,Dealer,62.0,First Owner,Petrol,Manual,17.0,1197,80.0,5,HYUNDAI,I20,1.2 ASTA
3.85,6.0,Dealer,63.0,First Owner,Petrol,Manual,23.1,998,67.04,5,MARUTI,CELERIO,VXI
3.1,11.0,Dealer,45.0,First Owner,Petrol,Manual,14.8,1799,130.2,5,HONDA,CIVIC,1.8 V MT
3.9,2.0,Dealer,17.0,First Owner,Petrol,Manual,15.37,1196,73.0,7,MARUTI,EECO,7 SEATER STANDARD BSIV
1.4,11.0,Dealer,42.0,First Owner,Petrol,Manual,0.0,1086,62.0,5,HYUNDAI,SANTRO,XING GL
3.65,7.0,Dealer,63.0,First Owner,Diesel,Manual,23.0,1396,90.0,5,HYUNDAI,I20,1.4 CRDI SPORTZ
14.0,7.0,Dealer,18.5,First Owner,Diesel,Automatic,18.88,1995,184.0,5,BMW,3,SERIES 320D PRESTIGE
6.1,10.0,Dealer,72.0,First Owner,Diesel,Automatic,16.07,1995,181.0,4,BMW,3,SERIES 320D CORPORATE EDITION
6.3,5.0,Dealer,40.0,First Owner,Petrol,Automatic,19.0,1199,88.7,5,HONDA,JAZZ,1.2 V AT I VTEC
8.15,4.0,Dealer,49.189,First Owner,Diesel,Manual,23.65,1248,88.5,5,MARUTI,SX4,S CROSS DDIS 200 ZETA
9.9,6.0,Individual,35.0,First Owner,Diesel,Manual,12.99,2494,100.6,7,TOYOTA,INNOVA,2.5 G (DIESEL) 7 SEATER
7.5,5.0,Dealer,55.0,First Owner,Petrol,Automatic,18.0,1497,117.3,5,HONDA,CITY,I VTEC CVT VX
4.5,5.0,Individual,20.0,First Owner,Petrol,Manual,21.21,1197,81.8,5,MARUTI,SWIFT,LXI
7.9,4.0,Dealer,33.0,First Owner,Petrol,Manual,17.8,1498,119.35,5,HONDA,CITY,V MT
7.85,5.0,Dealer,70.066,First Owner,Diesel,Manual,16.0,1997,140.0,7,MAHINDRA,XUV500,W4 1.99 MHAWK
6.9,5.0,Dealer,58.0,First Owner,Diesel,Manual,24.3,1248,88.5,5,MARUTI,VITARA,BREZZA ZDI PLUS
14.5,5.0,Dealer,62.0,First Owner,Petrol,Automatic,14.4,1997,151.89,5,HONDA,CR-V,2.0 CVT
4.5,9.0,Dealer,59.999,First Owner,Diesel,Automatic,20.0,1968,138.1,5,SKODA,LAURA,AMBIENTE 2.0 TDI CR AT
2.35,9.0,Dealer,62.443,First Owner,Petrol,Manual,18.9,998,67.1,5,MARUTI,WAGON,R VXI BS IV
3.5,6.0,Dealer,60.0,First Owner,Diesel,Manual,21.9,1396,90.0,5,HYUNDAI,I20,MAGNA 1.4 CRDI
9.75,5.0,Dealer,55.0,First Owner,Diesel,Manual,15.4,2179,120.0,8,MAHINDRA,SCORPIO,S6 PLUS 8 SEATER
1.65,11.0,Individual,60.0,First Owner,Petrol,Manual,20.36,1197,78.9,5,HYUNDAI,I10,MAGNA
0.8,14.0,Dealer,40.0,First Owner,Petrol,Manual,19.7,796,46.3,5,MARUTI,ALTO,LXI
3.11,7.0,Dealer,113.0,First Owner,Diesel,Manual,21.64,1461,84.8,5,NISSAN,SUNNY,DIESEL XL
4.0,5.0,Dealer,68.0,First Owner,Diesel,Manual,25.32,1198,77.0,6,MAHINDRA,KUV,100 MFALCON D75 K8
3.69,7.0,Dealer,45.892,First Owner,Diesel,Manual,25.8,1498,98.6,5,HONDA,AMAZE,S I-DTECH
3.25,9.0,Dealer,70.0,First Owner,Diesel,Manual,21.8,1461,78.0,5,RENAULT,FLUENCE,DIESEL E4
17.95,1.0,Dealer,20.0,First Owner,Diesel,Manual,17.41,1956,167.68,5,MG,HECTOR,SHARP DIESEL MT
6.21,6.0,Dealer,35.0,First Owner,Diesel,Manual,26.0,1498,98.6,5,HONDA,CITY,I DTEC V
1.75,12.0,Individual,145.0,First Owner,Petrol,Manual,17.5,1298,85.8,5,MARUTI,SWIFT,DZIRE VXI
13.49,8.0,Dealer,33.0,First Owner,Diesel,Automatic,17.11,1968,174.33,5,AUDI,A4,35 TDI PREMIUM
3.6,5.0,Dealer,52.0,First Owner,Petrol,Manual,19.1,1197,82.0,5,HYUNDAI,XCENT,1.2 KAPPA S
5.7,2.0,Individual,25.0,First Owner,Petrol,Automatic,18.9,1197,81.86,5,HYUNDAI,GRAND,I10 1.2 KAPPA MAGNA AT
9.25,6.0,Dealer,57.0,First Owner,Diesel,Manual,16.0,2179,140.0,7,MAHINDRA,XUV500,W10 AWD
3.75,7.0,Dealer,87.0,First Owner,Diesel,Manual,25.8,1498,98.6,5,HONDA,AMAZE,VX I-DTEC
4.79,3.0,Dealer,15.8,First Owner,Petrol,Automatic,18.9,1197,81.86,5,HYUNDAI,GRAND,I10 1.2 KAPPA MAGNA AT
2.45,9.0,Dealer,47.316,First Owner,Petrol,Manual,19.4,1198,86.8,5,HONDA,BRIO,E MT
9.25,4.0,Dealer,56.0,First Owner,Diesel,Manual,16.0,2179,140.0,7,MAHINDRA,XUV500,W4
2.25,5.0,Individual,45.0,First Owner,Petrol,Manual,23.01,999,67.0,5,RENAULT,KWID,1.0 RXT OPTIONAL
2.5,8.0,Individual,30.0,First Owner,Diesel,Manual,20.0,1399,68.05,5,FORD,FIGO,DIESEL TITANIUM
5.5,3.0,Dealer,25.0,First Owner,Petrol,Manual,18.6,1197,81.86,5,HYUNDAI,I20,PETROL MAGNA ERA
5.2,3.0,Dealer,36.0,First Owner,Petrol,Manual,18.9,1197,81.86,5,HYUNDAI,GRAND,I10 1.2 KAPPA SPORTZ BSIV
5.49,5.0,Dealer,22.0,First Owner,Petrol,Manual,18.6,1197,81.83,5,HYUNDAI,I20,2015-2017 MAGNA 1.2
14.9,6.0,Dealer,85.0,First Owner,Diesel,Automatic,0.0,2143,136.0,5,MERCEDES-BENZ,GLA,CLASS FACELIFT
25.25,5.0,Dealer,41.0,First Owner,Diesel,Automatic,21.76,1995,188.0,5,BMW,3,SERIES GT SPORT
3.25,8.0,Dealer,27.89,First Owner,Petrol,Manual,19.4,1198,86.8,5,HONDA,BRIO,S MT
32.0,2.0,Dealer,10.0,First Owner,Diesel,Automatic,20.68,1995,188.0,5,BMW,X1,SDRIVE 20D XLINE
4.9,9.0,Dealer,91.0,First Owner,Diesel,Manual,21.43,1364,87.2,5,TOYOTA,COROLLA,ALTIS DIESEL D4DG
13.0,8.0,Individual,60.0,First Owner,Diesel,Automatic,11.5,2982,169.0,7,TOYOTA,FORTUNER,4X2 4 SPEED AT
8.35,3.0,Dealer,22.0,First Owner,Diesel,Manual,16.55,2498,105.0,6,MAHINDRA,THAR,CRDE AC
7.25,4.0,Dealer,2.1,First Owner,Petrol,Manual,19.01,1462,103.26,7,MARUTI,ERTIGA,VXI
15.0,6.0,Individual,40.0,First Owner,Diesel,Automatic,15.73,1968,174.33,5,AUDI,Q3,35 TDI QUATTRO PREMIUM
4.49,10.0,Dealer,65.001,First Owner,Diesel,Manual,12.05,2179,120.0,7,MAHINDRA,SCORPIO,VLS 2.2 MHAWK
0.88,14.0,Dealer,70.5,First Owner,Petrol,Manual,19.0,998,67.1,5,MARUTI,ZEN,ESTILO LXI BS IV
6.65,6.0,Dealer,52.323,First Owner,Diesel,Automatic,19.08,1582,126.2,5,HYUNDAI,VERNA,1.6 CRDI AT SX
5.0,5.0,Individual,15.0,First Owner,Petrol,Manual,18.0,1198,86.7,5,HONDA,AMAZE,S I-VTECH
15.75,7.0,Dealer,42.005,First Owner,Diesel,Automatic,13.0,2143,204.0,5,MERCEDES-BENZ,E-CLASS,E250 CDI AVANTGARDE
3.1,7.0,Dealer,80.0,First Owner,Petrol,Manual,19.0,1197,85.8,5,MARUTI,SWIFT,DZIRE TOUR LXI
2.65,9.0,Dealer,54.0,First Owner,Petrol,Manual,18.5,1197,85.8,5,MARUTI,RITZ,LXI
3.9,6.0,Dealer,52.752,First Owner,Petrol,Manual,18.78,1198,74.0,5,VOLKSWAGEN,POLO,1.2 MPI TRENDLINE
6.25,3.0,Dealer,40.0,First Owner,Petrol,Automatic,21.21,1197,81.8,5,MARUTI,SWIFT,DZIRE AMT VXI
6.5,7.0,Dealer,89.0,First Owner,Diesel,Manual,22.32,1582,126.32,5,HYUNDAI,VERNA,1.6 SX
4.1,5.0,Dealer,55.0,First Owner,Diesel,Manual,25.2,1248,74.0,5,MARUTI,SWIFT,LDI OPTIONAL
4.6,6.0,Dealer,57.0,First Owner,Petrol,Manual,21.21,1197,81.8,5,MARUTI,SWIFT,DZIRE VXI 1.2
1.65,14.0,Dealer,42.0,First Owner,Petrol,Manual,17.7,1497,78.0,5,HONDA,CITY,2017-2020 EXI
6.5,6.0,Dealer,42.0,First Owner,Petrol,Automatic,14.7,1496,120.69,5,FORD,ECOSPORT,2015-2021 1.5 PETROL TITANIUM PLUS AT
2.5,6.0,Dealer,45.0,First Owner,Petrol,Manual,19.02,1198,67.05,5,DATSUN,GO,T OPTION
3.4,5.0,Dealer,77.95,First Owner,CNG,Manual,26.6,998,58.16,5,MARUTI,WAGON,R LXI CNG OPTIONAL
1.95,13.0,Individual,136.0,First Owner,Diesel,Manual,16.52,1991,123.7,5,CHEVROLET,OPTRA,MAGNUM 2.0 LT
10.9,2.0,Dealer,16.0,First Owner,Petrol,Manual,17.4,1497,117.3,5,HONDA,CITY,I VTEC VX
7.5,6.0,Dealer,64.0,First Owner,Diesel,Manual,16.55,2498,105.0,7,MAHINDRA,THAR,4X4
13.5,9.0,Dealer,69.0,First Owner,Diesel,Automatic,18.48,1995,177.0,5,BMW,5,SERIES 520D
16.8,7.0,Dealer,61.0,First Owner,Diesel,Automatic,12.55,2982,168.5,7,TOYOTA,FORTUNER,4X2 AT
4.2,7.0,Dealer,45.0,First Owner,Petrol,Manual,19.1,1197,85.8,5,MARUTI,SWIFT,DZIRE VXI
4.85,6.0,Dealer,48.3,First Owner,Diesel,Manual,22.54,1396,88.73,5,HYUNDAI,I20,SPORTZ 1.4 CRDI
7.0,4.0,Dealer,47.0,First Owner,Diesel,Manual,28.09,1248,88.5,5,MARUTI,CIAZ,ZDI PLUS SHVS
7.45,3.0,Dealer,9.313,First Owner,Petrol,Automatic,21.21,1197,81.8,5,MARUTI,SWIFT,DZIRE AMT ZXI PLUS
3.5,10.0,Dealer,58.568,First Owner,Petrol,Manual,16.8,1497,116.4,5,HONDA,CITY,S
8.0,2.0,Dealer,68.0,First Owner,Diesel,Automatic,21.0,1498,78.9,5,HONDA,AMAZE,V CVT DIESEL
4.0,10.0,Individual,70.0,First Owner,Petrol,Manual,14.8,1799,130.2,5,HONDA,CIVIC,1.8 S MT
3.5,8.0,Dealer,50.0,First Owner,Diesel,Manual,22.9,1248,74.0,5,MARUTI,SWIFT,VDI
3.01,7.0,Dealer,56.5,First Owner,Diesel,Manual,23.2,1248,73.94,5,MARUTI,RITZ,VDI
4.25,9.0,Dealer,70.0,First Owner,Petrol,Manual,16.02,1373,93.7,7,MARUTI,ERTIGA,VXI
4.65,6.0,Dealer,65.869,First Owner,Petrol,Manual,16.2,1199,74.0,5,VOLKSWAGEN,POLO,2015-2019 1.2 MPI HIGHLINE
6.6,5.0,Individual,50.0,First Owner,Petrol,Manual,17.8,1497,117.3,5,HONDA,CITY,I VTEC SV
2.45,7.0,Dealer,51.0,First Owner,CNG,Manual,32.52,998,58.33,5,MARUTI,WAGON,R CNG LXI
2.1,12.0,Dealer,68.0,First Owner,Petrol,Manual,17.5,1298,85.8,5,MARUTI,SWIFT,DZIRE ZXI
5.75,6.0,Dealer,63.0,First Owner,Diesel,Manual,26.0,1498,98.6,5,HONDA,CITY,I DTEC SV
4.5,4.0,Dealer,32.891,First Owner,Petrol,Manual,18.9,1197,82.0,5,HYUNDAI,GRAND,I10 MAGNA
9.6,5.0,Dealer,51.0,First Owner,Diesel,Manual,15.4,1997,120.0,7,MAHINDRA,SCORPIO,1.99 S8
13.75,6.0,Dealer,80.0,First Owner,Petrol,Automatic,13.7,1997,153.86,5,HONDA,CR-V,2.0L 2WD AT
4.4,6.0,Dealer,61.0,First Owner,Diesel,Manual,23.59,1364,67.04,5,TOYOTA,ETIOS,LIVA 1.4 GD
8.25,5.0,Dealer,72.0,First Owner,Diesel,Manual,19.67,1582,126.2,5,HYUNDAI,CRETA,1.6 CRDI SX
5.5,4.0,Individual,23.0,First Owner,Petrol,Manual,21.4,1197,83.1,5,MARUTI,BALENO,DELTA 1.2
4.15,8.0,Dealer,58.0,First Owner,Diesel,Manual,19.01,1461,108.45,5,RENAULT,DUSTER,110PS DIESEL RXZ
17.5,8.0,Dealer,66.0,First Owner,Diesel,Automatic,16.36,2179,187.7,5,JAGUAR,XF,2.2 LITRE LUXURY
0.9,15.0,Dealer,57.526,First Owner,Petrol,Manual,13.0,1343,90.0,5,HONDA,CITY,1.3 EXI
17.9,3.0,Dealer,48.0,First Owner,Petrol,Automatic,10.75,2694,163.7,7,TOYOTA,INNOVA,CRYSTA 2016-2020 2.7 ZX AT BSIV
1.4,13.0,Dealer,63.0,First Owner,Petrol,Manual,19.0,998,67.1,5,MARUTI,ZEN,ESTILO LXI BS IV
24.5,7.0,Dealer,64.0,First Owner,Diesel,Automatic,15.26,2143,203.2,5,MERCEDES-BENZ,M-CLASS,ML 250 CDI
5.65,12.0,Dealer,74.0,First Owner,Petrol,Automatic,12.05,1995,154.0,5,BMW,3,SERIES 320I
5.75,1.0,Dealer,35.0,First Owner,Petrol,Manual,22.0,1197,81.8,5,MARUTI,SWIFT,VXI
4.75,9.0,Dealer,73.001,First Owner,Petrol,Manual,14.53,1798,138.1,5,TOYOTA,COROLLA,ALTIS GL
3.49,10.0,Dealer,39.0,First Owner,Petrol,Manual,17.0,1497,118.0,5,HONDA,CITY,1.5 V MT
7.9,6.0,Dealer,58.0,First Owner,Diesel,Manual,16.0,2179,140.0,7,MAHINDRA,XUV500,W6 2WD
2.45,8.0,Dealer,76.091,First Owner,Diesel,Manual,20.0,1399,68.05,5,FORD,FIGO,DIESEL LXI
2.95,5.0,Dealer,30.265,First Owner,CNG,Manual,30.46,796,47.3,5,MARUTI,ALTO,800 CNG LXI
6.5,9.0,Dealer,39.0,First Owner,Diesel,Manual,12.99,2494,100.0,7,TOYOTA,INNOVA,2.5 G (DIESEL) 7 SEATER
3.25,9.0,Dealer,40.383,First Owner,Petrol,Manual,16.7,1198,88.8,5,HONDA,JAZZ,X
3.6,10.0,Dealer,70.778,First Owner,Petrol,Manual,17.0,1497,118.0,5,HONDA,CITY,1.5 S MT
6.15,3.0,Dealer,32.0,First Owner,Diesel,Manual,27.39,1248,74.0,5,MARUTI,BALENO,DELTA DIESEL
9.5,7.0,Dealer,32.0,First Owner,Petrol,Manual,13.1,1798,157.75,5,SKODA,SUPERB,ELEGANCE 1.8 TSI MT
4.95,5.0,Dealer,39.0,First Owner,Petrol,Manual,22.0,1197,81.8,5,MARUTI,SWIFT,DZIRE VXI 1.2 BS IV
6.2,6.0,Dealer,58.0,First Owner,Petrol,Manual,17.8,1497,117.3,5,HONDA,CITY,I VTEC SV
8.25,3.0,Dealer,11.5,First Owner,Petrol,Manual,17.43,1396,105.5,5,HYUNDAI,VERNA,1.4 VTVT
1.7,11.0,Individual,40.0,First Owner,Petrol,Manual,19.7,796,46.3,5,MARUTI,ALTO,LXI
14.5,4.0,Dealer,52.0,First Owner,Diesel,Manual,13.68,2393,147.51,7,TOYOTA,INNOVA,CRYSTA 2016-2020 2.4 GX MT
5.8,5.0,Trustmark Dealer,53.62,First Owner,Petrol,Manual,15.85,1499,110.4,5,FORD,ECOSPORT,2015-2021 1.5 TI VCT MT AMBIENTE BSIV
7.45,9.0,Dealer,61.0,First Owner,Petrol,Automatic,11.3,2360,170.0,5,MITSUBISHI,OUTLANDER,2.4
5.5,6.0,Dealer,84.0,First Owner,Diesel,Manual,26.21,1248,88.5,5,MARUTI,CIAZ,VDI PLUS
8.7,7.0,Dealer,42.0,First Owner,Petrol,Manual,14.28,1798,138.03,5,TOYOTA,COROLLA,ALTIS 1.8 G
3.4,9.0,Dealer,55.0,First Owner,Petrol,Manual,17.6,1496,88.73,5,TOYOTA,ETIOS,G
6.6,3.0,Dealer,69.0,First Owner,Diesel,Manual,22.54,1396,88.73,5,HYUNDAI,I20,1.4 SPORTZ
3.53,9.0,Dealer,48.059,First Owner,Diesel,Manual,19.3,1248,73.9,5,MARUTI,SWIFT,DZIRE VDI BSIV
1.25,12.0,Dealer,63.0,First Owner,Petrol,Manual,17.92,1086,62.1,5,HYUNDAI,SANTRO,XING GLS
8.11,3.0,Dealer,49.0,First Owner,Petrol,Automatic,19.12,1373,91.1,5,MARUTI,CIAZ,1.4 AT ALPHA
6.0,3.0,Dealer,39.0,First Owner,Petrol,Manual,21.4,1197,83.1,5,MARUTI,BALENO,DELTA 1.2
5.0,4.0,Individual,120.0,First Owner,Petrol,Manual,17.3,1497,117.3,7,HONDA,MOBILIO,E I VTEC
4.7,4.0,Dealer,46.0,First Owner,Petrol,Automatic,18.9,1197,81.86,5,HYUNDAI,GRAND,I10 1.2 KAPPA MAGNA AT
21.0,5.0,Dealer,69.0,First Owner,Diesel,Automatic,22.69,1995,190.0,5,BMW,3,SERIES 320D LUXURY LINE
6.15,5.0,Dealer,52.0,First Owner,Diesel,Manual,28.09,1248,88.5,5,MARUTI,CIAZ,ZDI PLUS SHVS
2.3,8.0,Individual,44.0,First Owner,Petrol,Manual,19.81,1086,68.05,5,HYUNDAI,I10,SPORTZ 1.1L
14.99,6.0,Dealer,44.0,First Owner,Diesel,Automatic,16.8,1984,150.0,5,VOLVO,V40,D3
3.0,9.0,Dealer,69.0,First Owner,Petrol,Manual,21.79,998,67.05,5,MARUTI,WAGON,R LXI
16.5,4.0,Dealer,63.0,First Owner,Diesel,Manual,13.68,2393,147.8,7,TOYOTA,INNOVA,CRYSTA 2016-2020 2.4 VX MT BSIV
6.0,4.0,Dealer,60.0,First Owner,Diesel,Automatic,28.4,1248,74.02,5,MARUTI,SWIFT,DZIRE AMT VDI
41.0,5.0,Dealer,4.8,First Owner,Diesel,Automatic,19.4,2143,204.0,4,MERCEDES-BENZ,CLS,250 CDI
25.0,4.0,Individual,22.0,First Owner,Diesel,Automatic,20.68,1995,188.0,5,BMW,X1,SDRIVE20D EXPEDITION
5.5,5.0,Dealer,51.334,First Owner,Petrol,Manual,18.6,1197,81.83,5,HYUNDAI,I20,2015-2017 MAGNA 1.2
2.4,9.0,Dealer,50.0,First Owner,Petrol,Manual,20.36,1197,78.9,5,HYUNDAI,I10,SPORTZ
3.45,5.0,Trustmark Dealer,46.613,First Owner,Petrol,Manual,20.51,998,67.04,5,MARUTI,WAGON,R LXI
4.0,13.0,Dealer,12.0,First Owner,Petrol,Manual,10.0,2000,250.0,2,DC,AVANTI,2.0 L
33.5,5.0,Dealer,40.0,First Owner,Diesel,Automatic,17.9,2143,170.0,5,MERCEDES-BENZ,GL-CLASS,220D 4MATIC SPORT
4.55,4.0,Dealer,21.0,First Owner,Diesel,Manual,24.0,1186,73.97,5,HYUNDAI,GRAND,I10 1.2 CRDI SPORTZ
5.85,3.0,Dealer,19.0,First Owner,Petrol,Manual,21.01,1197,81.8,5,MARUTI,BALENO,DELTA
5.4,6.0,Dealer,41.0,First Owner,Petrol,Automatic,18.9,1197,82.0,5,HYUNDAI,GRAND,I10 AT ASTA
4.45,6.0,Dealer,51.5,First Owner,Diesel,Manual,23.59,1364,67.04,5,TOYOTA,ETIOS,CROSS 1.4 GD
2.0,13.0,Individual,100.0,First Owner,Petrol,Manual,17.7,1497,78.0,5,HONDA,CITY,2017-2020 EXI
3.95,7.0,Dealer,49.0,First Owner,Petrol,Manual,18.0,1198,86.7,5,HONDA,AMAZE,S I-VTECH
5.9,4.0,Dealer,42.0,First Owner,Petrol,Manual,18.7,1199,88.7,5,HONDA,JAZZ,1.2 V I VTEC
6.8,3.0,Dealer,4.0,First Owner,Petrol,Manual,21.4,1197,83.1,5,MARUTI,BALENO,ZETA 1.2
3.75,5.0,Dealer,45.0,First Owner,Petrol,Manual,16.78,1496,88.73,5,TOYOTA,ETIOS,G
4.35,5.0,Trustmark Dealer,21.468,First Owner,Petrol,Manual,17.71,1197,78.9,5,TOYOTA,ETIOS,LIVA G
6.5,3.0,Individual,40.0,First Owner,Diesel,Manual,24.7,1047,69.0,5,TATA,TIGOR,1.05 REVOTORQ XZ
2.95,8.0,Dealer,85.0,First Owner,Petrol,Manual,21.1,1197,85.8,5,MARUTI,RITZ,VXI
3.75,7.0,Dealer,29.0,First Owner,Petrol,Manual,18.9,1197,82.0,5,HYUNDAI,GRAND,I10 MAGNA
4.1,2.0,Individual,28.5,First Owner,CNG,Manual,21.94,1196,61.7,5,MARUTI,EECO,CNG 5 SEATER AC BSIV
14.25,7.0,Dealer,82.0,First Owner,Diesel,Automatic,11.78,2143,167.62,5,MERCEDES-BENZ,C-CLASS,C 220 CDI GRAND EDITION
14.5,3.0,Dealer,34.0,First Owner,Petrol,Automatic,16.0,1368,160.0,5,JEEP,COMPASS,1.4 LIMITED OPTION
8.9,5.0,Dealer,30.0,First Owner,Petrol,Manual,13.0,1591,121.3,5,HYUNDAI,CRETA,1.6 VTVT SX PLUS
6.25,4.0,Dealer,34.633,First Owner,Petrol,Automatic,18.2,1199,88.7,5,HONDA,JAZZ,V CVT
6.95,4.0,Dealer,63.452,First Owner,Diesel,Automatic,28.4,1248,74.02,5,MARUTI,SWIFT,DZIRE AMT ZDI PLUS
59.75,4.0,Dealer,34.0,First Owner,Petrol,Automatic,13.6,1984,249.0,5,PORSCHE,MACAN,2013-2019 R4
3.65,5.0,Trustmark Dealer,37.208,First Owner,CNG,Manual,33.54,998,67.04,5,MARUTI,WAGON,R CNG LXI BSIV
6.75,6.0,Dealer,80.0,First Owner,Diesel,Manual,14.1,2179,147.94,5,TATA,SAFARI,STORME LX
5.95,3.0,Dealer,43.0,First Owner,Petrol,Manual,18.6,1197,81.83,5,HYUNDAI,I20,1.2 SPOTZ
1.2,12.0,Individual,70.0,First Owner,Petrol,Manual,18.2,1061,64.0,5,MARUTI,ZEN,ESTILO 1.1 VXI BSIII
4.75,9.0,Dealer,78.0,First Owner,Petrol,Automatic,15.6,1497,116.3,5,HONDA,CITY,V AT
16.99,6.0,Dealer,65.0,First Owner,Petrol,Automatic,19.16,2494,158.2,5,TOYOTA,CAMRY,HYBRID
10.5,11.0,Dealer,48.0,First Owner,Petrol,Manual,11.2,2497,203.0,5,MERCEDES-BENZ,E-CLASS,E250 PETROL
6.5,3.0,Dealer,30.0,First Owner,Petrol,Automatic,22.0,1197,81.8,5,MARUTI,SWIFT,AMT VVT ZXI
2.35,9.0,Trustmark Dealer,42.489,First Owner,Petrol,Manual,20.92,998,67.1,5,MARUTI,ALTO,K10 2010-2014 VXI
27.9,3.0,Dealer,26.0,First Owner,Diesel,Automatic,17.9,2143,136.0,5,MERCEDES-BENZ,CLA,200 D SPORT EDITION
5.45,7.0,Dealer,47.0,First Owner,Diesel,Automatic,22.32,1582,126.32,5,HYUNDAI,VERNA,1.6 SX CRDI (O) AT
1.65,12.0,Dealer,20.0,First Owner,Petrol,Manual,17.92,1086,62.1,5,HYUNDAI,SANTRO,XING GLS
3.2,6.0,Dealer,56.931,First Owner,Petrol,Manual,20.51,998,67.04,5,MARUTI,WAGON,R LXI
5.95,5.0,Dealer,49.0,First Owner,Diesel,Automatic,21.66,1498,103.52,5,SKODA,RAPID,1.5 TDI AT STYLE PLUS
1.27,12.0,Individual,36.0,First Owner,Petrol,Manual,17.92,1086,62.1,5,HYUNDAI,SANTRO,XING GLS
3.8,7.0,Dealer,60.0,First Owner,Diesel,Manual,22.71,1461,84.8,5,NISSAN,SUNNY,DIESEL XL
8.25,5.0,Dealer,64.312,First Owner,Diesel,Manual,15.4,2179,120.0,7,MAHINDRA,SCORPIO,S4 PLUS
8.65,3.0,Dealer,73.249,First Owner,Diesel,Manual,21.38,1396,88.7,5,HYUNDAI,CRETA,1.4 CRDI S
1.5,10.0,Individual,190.0,First Owner,Petrol,Manual,19.81,1086,68.05,5,HYUNDAI,I10,ERA
